gene_ids,controls_FPKM_Coeff_of_Var,exposed_FPKM_Coeff_of_Var
gene-ATP6,1.15545705596927,0.149096659785733
gene-COX1,1.39634102662561,0.181589724578984
gene-COX2,1.43612795362794,0.250753335482762
gene-COX3,1.30551856310895,0.267562082325178
gene-CYTB,1.41707594238854,0.302592376705342
gene-LOC111099029,1.14211530865077,1.65780921699808
gene-LOC111099030,0.834223688360783,1.94973054302999
gene-LOC111099031,0.638739125211537,NA
gene-LOC111099032,0.44173998989385,1.12471981382283
gene-LOC111099033,0.364648279447404,0.83586119395674
gene-LOC111099034,0.5280395392774,0.532404517800791
gene-LOC111099035,0.393611538930193,0.243552909533914
gene-LOC111099036,0.665277106377349,0.559040136430911
gene-LOC111099037,0.277698049905272,1.11072114134375
gene-LOC111099038,0.731318298933438,1.30664540148828
gene-LOC111099039,0.625902164029821,1.74070118729438
gene-LOC111099040,0.122787125132842,0.792242720914183
gene-LOC111099041,0.505697168471189,0.640749638876354
gene-LOC111099042,0.534564343993751,0.951962991485627
gene-LOC111099043,0.459472038584725,0.593917561084935
gene-LOC111099044,1.18669710839597,1.08446099254168
gene-LOC111099045,0.202019600137351,0.321513196133657
gene-LOC111099046,0.989324620498199,1.47736564643496
gene-LOC111099047,0.395603554235404,0.282781781179044
gene-LOC111099048,0.554419446834636,1.91434283869509
gene-LOC111099049,0.612216242567771,2.83383271518081
gene-LOC111099050,0.165774793774085,0.191941695558728
gene-LOC111099051,0.698285190195021,0.755786810331395
gene-LOC111099052,0.356008751395883,0.373969368249269
gene-LOC111099053,0.532650106389524,0.315147468738386
gene-LOC111099054,0.331307362997296,0.937679103428547
gene-LOC111099055,0.325301265513433,1.57559491512389
gene-LOC111099056,0.272242868750944,0.347533535550392
gene-LOC111099057,0.761410769081493,0.428550558493249
gene-LOC111099058,0.388245796281102,0.975789197412521
gene-LOC111099059,0.452360913708637,1.23411770315437
gene-LOC111099060,0.497093063467323,0.365460502489678
gene-LOC111099061,0.543473080065565,0.659890136447712
gene-LOC111099062,0.285206731368249,0.322201720148872
gene-LOC111099063,0.315423246354233,0.321938993264474
gene-LOC111099064,0.397835710839152,1.10236586627444
gene-LOC111099065,0.473539129472085,0.683460461669149
gene-LOC111099066,0.601653392091037,1.19716374785686
gene-LOC111099067,0.0621090783417307,0.562364155726236
gene-LOC111099068,0.479511287614685,0.498384583111063
gene-LOC111099069,0.393482847364066,1.48570011338476
gene-LOC111099070,0.537511097089449,0.762418988331085
gene-LOC111099071,0.16691290498337,0.407733059388733
gene-LOC111099072,0.633017042937648,1.27316826879234
gene-LOC111099073,0.241171393861657,0.22602573227927
gene-LOC111099074,0.674598133527014,2.91681547239451
gene-LOC111099075,0.470984772811166,2.38756795261675
gene-LOC111099076,0.575911567972855,1.07684635161188
gene-LOC111099077,0.510197073544148,0.588739618698487
gene-LOC111099078,2.125,NA
gene-LOC111099079,0.369602020746338,0.282437006632595
