gene_ids,Treatment1_FPKM_Coeff_of_Var,Treatment2_FPKM_Coeff_of_Var,Treatment3_FPKM_Coeff_of_Var,Treatment4_FPKM_Coeff_of_Var
gene-ATP6,1.15545705596927,0.263724900493501,1.40697093237798,0.149096659785733
gene-COX1,1.39634102662561,0.288795857403868,1.82537736696947,0.181589724578984
gene-COX2,1.43612795362794,0.291527640610269,1.97480719205546,0.250753335482762
gene-COX3,1.30551856310895,0.442092331508496,1.66863876241621,0.267562082325178
gene-CYTB,1.41707594238854,0.262163167734436,1.98631828653329,0.302592376705342
gene-LOC111099029,1.14211530865077,1.46301340030591,1.09502649058244,1.65780921699808
gene-LOC111099030,0.834223688360783,1.57436391900409,0.830232725985708,1.94973054302999
gene-LOC111099031,0.638739125211537,1.94059597363472,0.604427145578884,NA
gene-LOC111099032,0.44173998989385,0.751509421404428,0.51911981252655,1.12471981382283
gene-LOC111099033,0.364648279447404,1.01585388759863,0.247129442160332,0.83586119395674
gene-LOC111099034,0.5280395392774,0.725950551286541,0.503241557189928,0.532404517800791
gene-LOC111099035,0.393611538930193,0.291690300588313,0.143369455712437,0.243552909533914
gene-LOC111099036,0.665277106377349,0.638304185960501,0.94794068237701,0.559040136430911
gene-LOC111099037,0.277698049905272,1.11046063530079,0.487646677193739,1.11072114134375
gene-LOC111099038,0.731318298933438,1.51546503521564,0.569376175896117,1.30664540148828
gene-LOC111099039,0.625902164029821,1.30087819748106,0.47620465649681,1.74070118729438
gene-LOC111099040,0.122787125132842,0.714981600396069,0.339302288844963,0.792242720914183
gene-LOC111099041,0.505697168471189,1.34959175989034,0.440617763651524,0.640749638876354
gene-LOC111099042,0.534564343993751,0.723788747032853,0.441621524861066,0.951962991485627
gene-LOC111099043,0.459472038584725,1.23957438542537,0.467145417105843,0.593917561084935
gene-LOC111099044,1.18669710839597,1.60368016282489,1.04174369802101,1.08446099254168
gene-LOC111099045,0.202019600137351,0.732666762388937,0.33418164493528,0.321513196133657
gene-LOC111099046,0.989324620498199,1.43953631579001,2.21270755855836,1.47736564643496
gene-LOC111099047,0.395603554235404,0.549719867378533,0.366229326714795,0.282781781179044
gene-LOC111099048,0.554419446834636,1.56404061964655,0.627665581040085,1.91434283869509
gene-LOC111099049,0.612216242567771,1.20209945337388,0.68776194272347,2.83383271518081
gene-LOC111099050,0.165774793774085,0.310593902435113,0.279120207016701,0.191941695558728
gene-LOC111099051,0.698285190195021,0.839786930629915,0.598827971634929,0.755786810331395
gene-LOC111099052,0.356008751395883,0.836498571113987,0.427611986766754,0.373969368249269
gene-LOC111099053,0.532650106389524,0.512189436508468,0.248295044481295,0.315147468738386
gene-LOC111099054,0.331307362997296,0.977748052261618,0.500518869564627,0.937679103428547
gene-LOC111099055,0.325301265513433,1.87708051222211,0.461626817853588,1.57559491512389
gene-LOC111099056,0.272242868750944,0.289994188540256,0.505733966289505,0.347533535550392
gene-LOC111099057,0.761410769081493,0.999487019729459,0.521116638780456,0.428550558493249
gene-LOC111099058,0.388245796281102,1.4326720118931,0.50168977531705,0.975789197412521
gene-LOC111099059,0.452360913708637,1.13783444353615,0.527863138884052,1.23411770315437
gene-LOC111099060,0.497093063467323,0.659887400802886,0.454943300751933,0.365460502489678
gene-LOC111099061,0.543473080065565,1.14888776891619,0.59156348240678,0.659890136447712
gene-LOC111099062,0.285206731368249,0.39301056742571,0.298041058542488,0.322201720148872
gene-LOC111099063,0.315423246354233,0.170430981703152,0.170451640317006,0.321938993264474
gene-LOC111099064,0.397835710839152,1.53651159978516,0.376815193908923,1.10236586627444
gene-LOC111099065,0.473539129472085,0.763877166626366,0.388506086076785,0.683460461669149
gene-LOC111099066,0.601653392091037,1.05614845743907,0.59958239450156,1.19716374785686
gene-LOC111099067,0.0621090783417307,0.267106961120368,0.195313497175517,0.562364155726236
gene-LOC111099068,0.479511287614685,1.11258564047035,0.472985021074795,0.498384583111063
gene-LOC111099069,0.393482847364066,1.1915860575323,0.419157163784918,1.48570011338476
gene-LOC111099070,0.537511097089449,1.3920586935109,0.48608686723367,0.762418988331085
