Treatment,TreatmentN,Sex,gene.LOC111128233,gene.LOC111105393,gene.LOC111116464,gene.LOC111135088,gene.LOC111130500,gene.LOC111127278,gene.LOC111113969,gene.LOC111132481,gene.LOC111105938,gene.LOC111138283,gene.LOC111131835,gene.LOC111129832,gene.LOC111130487,gene.LOC111127862,gene.LOC111110254,gene.LOC111124688,gene.LOC111125297,gene.LOC111116779,gene.LOC111119607,gene.LOC111123744,gene.LOC111124204,gene.LOC111113829,gene.LOC111110051,gene.LOC111104660
Exposed,3,M,6.302471,3.930678,1.004439,6.29145093299621,9.79734421313817,7.379664,1.327946,1.317503,3.256682,9.153389,3.235744,11.282969,10.5405473769605,22.033759,4.661379,26.66508,7.78298953939394,8.72577,9.3914716254417,7.07046424624464,3.610611,6.522298,15.2678330098898,2.71297503461538
Control,1,M,5.227464,0,8.828516,9.87609603539823,12.7382808643342,4.477979,0.952429,0.741607,0,1.331801,5.605647,12.675073,8.22318459843159,24.2002720712251,5.334642,0,5.63172858181818,0.227652,7.59806450147232,5.15293455096566,3.897157,8.647665,4.3658224374117,1.328094025
Control,2,F,4.144245,0.27368,0.117481,13.6614911289507,22.1370625530168,4.125732,0,0,0.136835,0,10.163198,0.398161,30.8941062020011,43.6698846524217,0.726254,0,8.17476526010101,0.3198,0.129049099823322,0.860942600321889,0,0.70028,0.174997995478949,0
Control,2,F,5.044412,0.177369,0.239739,6.56199687863464,3.88619927525884,15.741905,0,0.994035,0,0.708362,9.970329,0.548503,15.1064355365062,23.0401528475783,0.723381,0,4.87257813787879,0.659464,0.602918965547703,21.2780918100858,0,0.509935,0.295447057078271,0.0218731884615385
Exposed,4,F,6.196632,0,1.05255,6.52920146902655,6.67881630132096,11.322416,2.003131,2.905954,0,0,5.126956,1.093736,10.9265363031368,12.3916071100427,2.694229,1.318259,6.85998797020202,2.434282,0.787508178739694,6.52774017811159,0.918783,0.684964,0.436376906188189,0.128650782692308
Exposed,3,M,3.885179,0.994654,1.353621,8.45919842225032,11.5430365087469,6.706453,2.913496,3.94928,1.613668,7.854902,2.423299,14.494715,6.45151106327745,18.869078,5.095269,7.110297,11.0645297848485,4.653748,10.4916815020612,10.9696144114807,8.008461,4.653312,5.67953950748799,1.80115680384615
Exposed,4,F,3.27369,0,1.306186,8.15709862452592,10.4965535101749,7.926527,1.870366,0.517757,0.99023,0,1.850243,1.243278,11.8050746032991,21.5522481399573,1.427634,1.366363,7.47894403080808,3.846424,1.25325295612485,11.4457985504292,1.068539,0.519811,1.44264047894886,0.0811532153846154
Exposed,3,M,6.990542,0.992496,2.085334,7.87938316814159,11.6558195401642,6.247741,0.978364,3.706735,6.005456,5.065301,5.418523,8.270467,5.19850983964305,13.787703,6.431918,8.543285,7.73873348181818,0.770375,9.95133477473498,10.311565875,1.413548,9.046622,10.207132791184,3.03064615833333
Exposed,4,F,6.460795,0,1.065401,6.47899478002528,4.26911292609782,5.938128,0.455572,2.580897,0,0,4.141758,0.822416,9.48366205570579,15.0973276680912,1.72703,1.579176,6.92358002424242,1.054363,0.986739696996466,17.1380167081545,0.537875,4.731128,1.1336032133371,0.185125207692308
Exposed,4,F,10.463325,0,2.691596,8.91171417825537,7.22465275044627,9.387506,0.354736,1.488497,0,0,2.580803,0.877812,13.4618420881558,16.1484395067664,2.090205,1.66384,7.07899644040404,3.457474,0.91059494581861,24.2598635407725,0.653132,1.204349,1.44678938570218,0.353259205769231
Control,2,F,5.369971,0,4.50282,4.67921679266751,3.32164281720814,19.841731,0,0.798751,0.060447,0,12.410611,0,16.163672854516,11.2222955430912,0.508501,2.957676,4.9492835530303,0.76681,0.279351066254417,4.66053156545064,0,0,0.0787718366770274,0
Exposed,4,F,5.686278,0.142524,0.570553,8.85239644879899,7.06898247161728,7.705312,0.285936,1.791704,0,9.147518,5.574602,0.846747,15.3181372801514,20.7291397881054,2.175374,0.699744,10.8929731378788,3.511754,1.35552984952886,8.51826246083691,0.451916,2.61926,0.75559793896581,0.556880373076923
Control,2,F,6.00243,0.253825,0.019842,10.6851652958281,16.858457373081,5.820659,0.087256,0.372271,0.304531,0.477754,6.632083,0.437731,23.5129999813413,26.3697577090456,0.366858,0.477489,4.33555835505051,0.513699,0.632296299175501,2.50686119849785,0,0.476769,0.319304187623623,0.0651512230769231
Exposed,3,M,8.125145,0.945543,4.551627,7.76412747029077,9.12561006676187,9.68413,1.384459,3.568323,3.497318,5.146421,1.889716,13.346747,8.10686296646836,21.136753,4.616201,13.970911,7.21390242575758,0.951387,17.2777898801531,5.94617485246781,8.351934,2.769588,6.50559703927663,1.85890354358974
Exposed,4,F,6.101255,0.535361,1.22797,6.52782290012642,8.03818236165655,8.760311,3.746046,1.919952,0,0,2.796134,1.359746,13.9133767309356,19.6337523896011,1.413151,0.873313,6.70395883181818,2.27303,1.01699397320377,5.87692085568669,0.343908,2.809929,0.364378615428087,0.238466722435897
Control,2,F,4.345495,0.452733,0.263902,10.8626248900126,20.4009424134238,4.832768,0.336804,0,0.179033,0.896818,4.475539,0.064729,21.4848190840995,22.1058131128917,0.379555,2.208905,8.12978073434343,0.101176,2.34332372732627,5.55431181813305,0,0.440338,1.24261464481492,0.464000378205128
Control,2,F,3.98533,0.18354,0.522357,8.01157959924147,6.74841537343806,6.691474,0.094062,0,0,0,7.03008,0.508635,15.3241605654408,17.1364572229345,0.776673,0,8.6552781979798,0.929616,0.450487382508834,7.04674899624464,0.931953,0.436471,0.218874264481492,0.0530606903846154
Control,2,F,6.042323,0,0.139327,5.95954877117573,9.69217999036058,9.939782,0,0.99085,0.740733,0,4.244843,1.085661,26.0971661568415,25.8622739789886,0.211496,0,5.90444735454545,0.541778,0.700151764134275,4.61843046459227,0,0.455791,0.245049209381181,0.0702489051282051
Exposed,3,M,3.435543,0.796049,0.550277,8.98038727939317,9.60077455265976,7.45223,0.402553,1.798518,0.77994,3.614383,0.963677,1.222461,6.97135627582477,10.44620484651,2.878907,1.631692,6.85291191262626,1.097141,2.33524014929329,5.72578849463519,0.573466,0.965166,2.52835583498163,0.118399226282051
Control,1,M,4.340118,0.201565,0.425296,11.1367559102402,17.8360773530882,4.538573,0,0.980949,0,0.975425,9.176277,4.397361,5.43603167522985,17.4565507261396,2.333062,4.447428,5.17316460707071,3.078273,2.75467567314488,6.28946527575107,0,0.625795,1.86451477196948,1.26185098589744
Control,2,F,4.179547,0.145152,0.240388,4.76903754740834,3.61561442163513,16.616556,0,2.736581,0.166115,0.410562,3.573721,0.7775,17.5023392966468,27.2450515498575,1.672973,0,2.58965940656566,1.281563,0.593171299175501,3.85107706437768,0.215246,0.449818,0.224055494207403,0.0796644923076923
Exposed,4,F,3.146119,0,1.111949,7.583274482933,4.18141668225634,11.787712,0.12221,1.381116,0,0,1.664893,0.864484,9.06176146430503,21.8921184633191,1.432231,0.929468,6.07448701363636,0.898232,0.809531473203769,8.50386749463519,0.079198,0.517231,0.369929777055665,0.111295405769231
