FPKM.S13M,FPKM.S16F,FPKM.S19F,FPKM.S39F,FPKM.S44F,FPKM.S52F,FPKM.S53F,FPKM.S54F,FPKM.S64M,FPKM.S6M,FPKM.S76F,FPKM.S7M,controls_sum_transcript_counts,controls_median_transcript_counts,controls_mean_transcript_counts,controls_max_transcript_counts,controls_min_transcript_counts,controls_std_dev_transcript_counts
1,1,1,1,1,1,1,1,1,1,1,1,12,1,1.78571428571429,12,1,3.64071447943509
1,1,1,1,1,1,1,1,1,1,1,1,12,1,1.78571428571429,12,1,3.64071447943509
1,1,1,1,1,1,1,1,1,1,1,1,12,1,1.78571428571429,12,1,3.64071447943509
1,1,1,1,1,1,1,1,1,1,1,1,12,1,1.78571428571429,12,1,3.64071447943509
1,1,1,1,1,1,1,1,1,1,1,1,12,1,1.78571428571429,12,1,3.64071447943509
1,1,1,1,1,1,1,1,1,1,1,1,12,1,1.78571428571429,12,1,3.64071447943509
1,1,0,1,0,1,1,1,1,1,0,1,9,1,1.35714285714286,9,0,2.77427082878593
1,0,1,0,1,0,0,1,1,1,0,1,7,1,1.07142857142857,7,0,2.17710723630402
1,0,1,1,1,1,1,1,1,1,1,1,11,1,1.64285714285714,11,0,3.37239517549291
1,1,1,1,1,1,1,1,1,1,1,1,12,1,1.78571428571429,12,1,3.64071447943509
1,1,1,1,1,1,1,1,1,1,1,1,12,1,1.78571428571429,12,1,3.64071447943509
1,1,1,1,2,1,1,2,1,1,2,1,15,1,2.21428571428571,15,1,4.57868548213324
1,2,1,2,2,2,1,2,1,1,2,1,18,2,2.71428571428571,18,1,5.48073128023501
1,1,1,1,1,1,1,1,1,1,1,1,12,1,1.78571428571429,12,1,3.64071447943509
1,1,1,0,1,1,1,1,1,1,1,1,11,1,1.64285714285714,11,0,3.37239517549291
1,1,1,1,1,1,1,1,1,1,1,1,12,1,1.78571428571429,12,1,3.64071447943509
4,15,13,9,15,18,9,15,13,8,12,5,136,13,20.3571428571429,136,4,41.5873920734613
1,2,1,2,2,1,1,1,1,2,1,1,16,1,2.35714285714286,16,1,4.88815482805621
1,1,1,2,2,1,2,1,1,2,2,1,17,1,2.5,17,1,5.19650617921197
1,1,1,1,1,2,1,1,1,1,1,1,13,1,1.92857142857143,13,1,3.95534232313175
1,1,0,0,1,0,1,1,0,1,0,1,7,1,1.07142857142857,7,0,2.17710723630402
2,2,2,2,2,2,2,2,2,2,2,2,24,2,3.57142857142857,24,2,7.28142895887018
1,1,1,0,1,0,0,1,1,1,0,1,8,1,1.21428571428571,8,0,2.4755254574567
3,6,5,3,6,5,5,6,5,4,3,2,53,5,7.92857142857143,53,2,16.1736339322315
