FPKM.S16F,FPKM.S19F,FPKM.S39F,FPKM.S44F,FPKM.S52F,FPKM.S53F,FPKM.S54F,FPKM.S76F,control_females_sum_transcript_counts,control_females_median_transcript_counts,control_females_mean_transcript_counts,control_females_max_transcript_counts,control_females_min_transcript_counts,control_females_std_dev_transcript_counts
1,1,1,1,1,1,1,1,8,1,1.7,8,1,2.61195476459829
1,1,1,1,1,1,1,1,8,1,1.7,8,1,2.61195476459829
1,1,1,1,1,1,1,1,8,1,1.7,8,1,2.61195476459829
1,1,1,1,1,1,1,1,8,1,1.7,8,1,2.61195476459829
1,1,1,1,1,1,1,1,8,1,1.7,8,1,2.61195476459829
1,1,1,1,1,1,1,1,8,1,1.7,8,1,2.61195476459829
1,0,1,0,1,1,1,0,5,1,1.1,5,0,1.70090473662605
0,1,0,1,0,0,1,0,3,0,0.6,3,0,1.09051857812271
0,1,1,1,1,1,1,1,7,1,1.5,7,0,2.34110427592818
1,1,1,1,1,1,1,1,8,1,1.7,8,1,2.61195476459829
1,1,1,1,1,1,1,1,8,1,1.7,8,1,2.61195476459829
1,1,1,2,1,1,2,2,11,1,2.3,11,1,3.64311785320043
2,1,2,2,2,1,2,2,14,2,3,14,1,4.60768588672983
1,1,1,1,1,1,1,1,8,1,1.7,8,1,2.61195476459829
1,1,0,1,1,1,1,1,7,1,1.5,7,0,2.34110427592818
1,1,1,1,1,1,1,1,8,1,1.7,8,1,2.61195476459829
15,13,9,15,18,9,15,12,106,15,22.7,106,9,34.8042769255115
2,1,2,2,1,1,1,1,11,1,2.3,11,1,3.64311785320043
1,1,2,2,1,2,1,2,12,2,2.6,12,1,3.94377146058609
1,1,1,1,2,1,1,1,9,1,1.9,9,1,2.96033608625604
1,0,0,1,0,1,1,0,4,1,0.9,4,0,1.38286213785312
2,2,2,2,2,2,2,2,16,2,3.4,16,2,5.22390952919657
1,1,0,1,0,0,1,0,4,1,0.9,4,0,1.38286213785312
6,5,3,6,5,5,6,3,39,5,8.3,39,3,12.8421581379854
1,1,1,1,1,1,1,0,7,1,1.5,7,0,2.34110427592818
1,1,0,1,1,0,1,1,6,1,1.3,6,0,2.02053559794528
1,1,1,1,1,1,1,1,8,1,1.7,8,1,2.61195476459829
1,1,1,1,1,1,1,1,8,1,1.7,8,1,2.61195476459829
1,1,1,1,1,1,1,1,8,1,1.7,8,1,2.61195476459829
1,1,1,1,1,1,1,1,8,1,1.7,8,1,2.61195476459829
1,1,1,1,1,1,1,1,8,1,1.7,8,1,2.61195476459829
0,1,1,1,1,1,1,1,7,1,1.5,7,0,2.34110427592818
1,3,1,3,3,3,2,2,18,3,3.9,18,1,5.94748384634747
0,0,1,1,1,1,1,1,6,1,1.3,6,0,2.02053559794528
1,0,1,1,1,1,1,1,7,1,1.5,7,0,2.34110427592818
1,1,1,1,2,1,1,1,9,1,1.9,9,1,2.96033608625604
2,1,2,2,2,2,1,2,14,2,3,14,1,4.60768588672983
1,1,1,1,1,1,1,1,8,1,1.7,8,1,2.61195476459829
