FPKM.S12M,FPKM.S22F,FPKM.S23M,FPKM.S29F,FPKM.S31M,FPKM.S35F,FPKM.S36F,FPKM.S3F,FPKM.S41F,FPKM.S48M,FPKM.S50F,FPKM.S59M,FPKM.S77F,FPKM.S9M,exposed_sum_transcript_counts,exposed_median_transcript_counts,exposed_mean_transcript_counts,exposed_max_transcript_counts,exposed_min_transcript_counts,exposed_std_dev_transcript_counts
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,0,1,1,1,1,0,0,1,1,0,1,0,1,9,1,1.1875,9,0,2.67262646104771
1,0,1,0,1,0,0,0,0,1,0,0,0,1,5,0,0.625,5,0,1.53733388300533
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,2,2,1,2,1,2,1,18,1,2.3125,18,1,5.28300204077809
2,2,1,1,1,1,1,1,2,2,1,2,1,1,19,1,2.4375,19,1,5.5791278512335
1,1,1,1,1,1,0,1,1,1,1,1,1,1,13,1,1.6875,13,0,3.82522323336661
1,0,1,1,1,1,1,1,1,1,1,0,1,1,12,1,1.5625,12,0,3.53690663095336
1,1,1,1,1,0,0,1,1,1,1,1,0,1,11,1,1.4375,11,0,3.2486818345724
9,8,5,16,7,12,8,13,17,6,12,16,7,6,142,9,18.3125,142,5,41.7506262099796
1,1,1,2,1,1,2,2,1,1,2,1,1,2,19,1,2.4375,19,1,5.5791278512335
2,2,1,1,1,1,2,2,1,2,1,2,2,2,22,2,2.875,22,1,6.44364486998828
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,0,1,1,1,1,1,1,1,1,1,1,1,1,13,1,1.6875,13,0,3.82522323336661
2,2,2,2,2,2,2,2,2,2,2,2,2,2,28,2,3.625,28,2,8.17615475507572
1,0,0,1,1,0,0,0,1,0,0,0,0,1,5,0,0.625,5,0,1.53733388300533
2,5,3,4,2,5,5,4,5,4,5,3,6,2,55,4,7.125,55,2,16.1414644626812
1,1,1,0,1,0,0,0,1,1,1,1,1,1,10,1,1.3125,10,0,2.96057565748356
2,0,2,1,1,0,0,1,1,2,1,1,0,2,14,1,1.8125,14,0,4.16728339733965
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,0,1,13,1,1.6875,13,0,3.82522323336661
1,3,2,2,2,3,3,2,3,2,3,1,3,2,32,2,4.125,32,1,9.39944182273327
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,0,1,13,1,1.6875,13,0,3.82522323336661
2,1,3,1,2,1,1,1,1,2,1,1,0,2,19,1,2.4375,19,0,5.62580606635163
2,2,1,2,2,2,2,1,2,1,2,1,2,2,24,2,3.125,24,1,7.02980938783121
1,1,1,1,1,0,1,1,1,1,1,1,1,1,13,1,1.6875,13,0,3.82522323336661
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
2,2,1,2,1,1,1,1,1,2,1,2,2,2,21,2,2.75,21,1,6.14995958718239
1,1,2,1,2,1,0,1,1,2,0,1,1,2,16,1,2.0625,16,0,4.7376942205864
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,2,1,1,2,1,1,2,2,1,1,1,18,1,2.3125,18,1,5.28300204077809
1,1,1,1,1,0,0,1,1,1,1,1,1,1,12,1,1.5625,12,0,3.53690663095336
4,1,5,5,4,1,1,2,1,2,1,1,1,3,32,2,4.125,32,1,9.47596702312708
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,0,1,1,1,0,1,1,1,12,1,1.5625,12,0,3.53690663095336
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
0,0,1,0,1,0,0,0,1,0,0,0,0,1,4,0,0.5,4,0,1.24780509049276
1,1,1,1,1,0,0,0,1,1,0,1,0,1,9,1,1.1875,9,0,2.67262646104771
1,1,1,1,1,0,1,1,1,2,1,1,1,1,14,1,1.8125,14,0,4.12709553807631
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,2,1,0,0,0,0,0,1,1,0,1,0,0,7,0,0.875,7,0,2.14191752234175
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,0,1,13,1,1.6875,13,0,3.82522323336661
1,2,2,2,1,2,2,2,2,2,2,2,2,1,25,2,3.25,25,1,7.32238516887793
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
0,0,1,0,0,0,0,0,0,1,0,1,0,1,4,0,0.5,4,0,1.24780509049276
0,0,1,0,0,1,0,0,0,1,0,0,0,0,3,0,0.375,3,0,0.95785647937868
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,1,0,0,0,1,0,1,1,2,10,1,1.3125,10,0,2.97928168100892
1,1,1,2,1,2,1,1,1,2,2,2,1,1,19,1,2.4375,19,1,5.5791278512335
0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,0,0.375,3,0,0.95785647937868
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
