FPKM.S22F,FPKM.S29F,FPKM.S35F,FPKM.S36F,FPKM.S3F,FPKM.S41F,FPKM.S50F,FPKM.S77F,exposed_females_sum_transcript_counts,exposed_females_median_transcript_counts,exposed_females_mean_transcript_counts,exposed_females_max_transcript_counts,exposed_females_min_transcript_counts,exposed_females_std_dev_transcript_counts
1,1,1,1,1,1,1,1,8,1,1.7,8,1,2.61195476459829
1,1,1,1,1,1,1,1,8,1,1.7,8,1,2.61195476459829
1,1,1,1,1,1,1,1,8,1,1.7,8,1,2.61195476459829
1,1,1,1,1,1,1,1,8,1,1.7,8,1,2.61195476459829
1,1,1,1,1,1,1,1,8,1,1.7,8,1,2.61195476459829
1,1,1,1,1,1,1,1,8,1,1.7,8,1,2.61195476459829
0,1,1,0,0,1,0,0,3,0,0.6,3,0,1.09051857812271
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,8,1,1.7,8,1,2.61195476459829
1,1,1,1,1,1,1,1,8,1,1.7,8,1,2.61195476459829
1,1,1,1,1,1,1,1,8,1,1.7,8,1,2.61195476459829
1,1,1,1,2,2,2,2,12,2,2.6,12,1,3.94377146058609
2,1,1,1,1,2,1,1,10,1,2.1,10,1,3.30357227007216
1,1,1,0,1,1,1,1,7,1,1.5,7,0,2.34110427592818
0,1,1,1,1,1,1,1,7,1,1.5,7,0,2.34110427592818
1,1,0,0,1,1,1,0,5,1,1.1,5,0,1.70090473662605
8,16,12,8,13,17,12,7,93,12,19.8,93,7,30.6771526108225
1,2,1,2,2,1,2,1,12,2,2.6,12,1,3.94377146058609
2,1,1,2,2,1,1,2,12,2,2.6,12,1,3.94377146058609
1,1,1,1,1,1,1,1,8,1,1.7,8,1,2.61195476459829
0,1,1,1,1,1,1,1,7,1,1.5,7,0,2.34110427592818
2,2,2,2,2,2,2,2,16,2,3.4,16,2,5.22390952919657
0,1,0,0,0,1,0,0,2,0,0.4,2,0,0.764266029666741
5,4,5,5,4,5,5,6,39,5,8.3,39,4,12.771934375509
1,0,0,0,0,1,1,1,4,1,0.9,4,0,1.38286213785312
0,1,0,0,1,1,1,0,4,1,0.9,4,0,1.38286213785312
1,1,1,1,1,1,1,1,8,1,1.7,8,1,2.61195476459829
1,1,1,1,1,1,1,1,8,1,1.7,8,1,2.61195476459829
1,1,1,1,1,1,1,1,8,1,1.7,8,1,2.61195476459829
1,1,1,1,1,1,1,1,8,1,1.7,8,1,2.61195476459829
1,1,1,1,1,1,1,1,8,1,1.7,8,1,2.61195476459829
1,1,1,1,1,1,1,0,7,1,1.5,7,0,2.34110427592818
3,2,3,3,2,3,3,3,22,3,4.7,22,2,7.2127380198916
1,1,1,1,1,1,1,1,8,1,1.7,8,1,2.61195476459829
1,1,1,1,1,1,1,0,7,1,1.5,7,0,2.34110427592818
1,1,1,1,1,1,1,0,7,1,1.5,7,0,2.34110427592818
2,2,2,2,1,2,2,2,15,2,3.2,15,1,4.93787040155613
1,1,0,1,1,1,1,1,7,1,1.5,7,0,2.34110427592818
