FPKM.S16F,FPKM.S19F,FPKM.S22F,FPKM.S29F,FPKM.S35F,FPKM.S36F,FPKM.S39F,FPKM.S3F,FPKM.S41F,FPKM.S44F,FPKM.S50F,FPKM.S52F,FPKM.S53F,FPKM.S54F,FPKM.S76F,FPKM.S77F,female_sum_transcript_counts,female_median_transcript_counts,female_mean_transcript_counts,female_max_transcript_counts,female_min_transcript_counts,female_std_dev_transcript_counts
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,0,8,1,0.944444444444444,8,0,2.30042298592414
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0.333333333333333,3,0,0.920949590448982
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,1,1.72222222222222,15,0,4.24569152570604
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,2,23,1,2.61111111111111,23,1,6.50303596625189
2,1,2,1,1,1,2,1,2,2,1,2,1,2,2,1,24,2,2.77777777777778,24,1,6.76997121766894
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,15,1,1.72222222222222,15,0,4.24569152570604
1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,14,1,1.61111111111111,14,0,3.96753432628094
1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,13,1,1.5,13,0,3.68943149575985
15,13,8,16,12,8,9,13,17,15,12,18,9,15,12,7,199,13,22.8333333333333,199,7,56.1692783529202
2,1,1,2,1,2,2,2,1,2,2,1,1,1,1,1,23,1,2.61111111111111,23,1,6.50303596625189
1,1,2,1,1,2,2,2,1,2,1,1,2,1,2,2,24,2,2.77777777777778,24,1,6.76997121766894
1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,17,1,1.94444444444444,17,1,4.79074160996264
1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,11,1,1.27777777777778,11,0,3.13344684397943
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32,2,3.66666666666667,32,2,9.00470188760606
1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,6,0,0.666666666666667,6,0,1.75857686570493
6,5,5,4,5,5,3,4,5,6,5,5,5,6,3,6,78,5,8.94444444444444,78,3,21.9969126955669
1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,11,1,1.27777777777778,11,0,3.13344684397943
1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,10,1,1.16666666666667,10,0,2.85560805337451
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,14,1,1.61111111111111,14,0,3.96753432628094
1,3,3,2,3,3,1,2,3,3,3,3,3,2,2,3,40,3,4.61111111111111,40,1,11.2951413235562
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.61111111111111,14,0,3.96753432628094
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,14,1,1.61111111111111,14,0,3.96753432628094
1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,16,1,1.83333333333333,16,0,4.53493202436469
2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,29,2,3.33333333333333,29,1,8.18014760348582
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,15,1,1.72222222222222,15,0,4.24569152570604
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
2,1,2,2,1,1,2,1,1,1,1,2,1,2,1,2,23,1,2.61111111111111,23,1,6.50303596625189
2,1,1,1,1,0,0,1,1,0,0,1,2,1,1,1,14,1,1.61111111111111,14,0,3.99265934312176
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
2,1,1,2,1,2,1,1,1,1,2,2,1,1,1,1,21,1,2.38888888888889,21,1,5.93488080012556
0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,12,1,1.38888888888889,12,0,3.41139633090525
2,1,1,5,1,1,1,2,1,2,1,1,1,1,1,1,23,1,2.61111111111111,23,1,6.54900578548879
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,12,1,1.38888888888889,12,0,3.41139633090525
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,3,0,0.333333333333333,3,0,0.920949590448982
0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,6,0,0.666666666666667,6,0,1.75857686570493
0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,13,1,1.5,13,0,3.68943149575985
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,5,0,0.555555555555556,5,0,1.51304342684625
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,13,1,1.5,13,0,3.68943149575985
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32,2,3.66666666666667,32,2,9.00470188760606
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0.222222222222222,2,0,0.640537325878533
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.111111111111111,1,0,0.357172250407147
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.111111111111111,1,0,0.357172250407147
1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,10,1,1.16666666666667,10,0,2.85560805337451
2,1,1,2,2,1,2,1,1,2,2,2,2,2,1,1,25,2,2.88888888888889,25,1,7.0525657123895
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.111111111111111,1,0,0.357172250407147
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,1,1.72222222222222,15,0,4.24569152570604
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
