"chr"	"start"	"end"	"strand"	"pvalue"	"qvalue"	"meth.diff"
"7485"	"NC_035780.1"	598060	598060	"+"	1.76521983081603e-58	9.81242250597286e-57	-76.3775510204082
"7533"	"NC_035780.1"	602042	602042	"+"	7.51958168923357e-152	7.14428795960852e-149	-79.6683443024907
"7535"	"NC_035780.1"	602128	602128	"+"	2.06739135532042e-108	4.5844422260595e-106	-75.5808126822158
"7536"	"NC_035780.1"	602282	602282	"+"	7.28254321956258e-160	9.63741033439223e-157	-75.4365514455537
"7538"	"NC_035780.1"	602384	602384	"+"	4.03689802960326e-171	8.89219472824698e-168	-76.6785650544351
"7581"	"NC_035780.1"	606506	606506	"+"	5.03562653844738e-118	1.48530448242917e-115	-75.5363747216092
"7586"	"NC_035780.1"	607947	607947	"+"	1.47616760658374e-156	1.71129423438976e-153	-78.7125290820538
"7587"	"NC_035780.1"	608002	608002	"+"	3.79515481921113e-179	1.2265542862454e-175	-76.6925141664181
"7930"	"NC_035780.1"	639896	639896	"+"	2.27412016538282e-117	6.57680626204819e-115	-78.2575883078396
"7933"	"NC_035780.1"	640049	640049	"+"	1.98101268004243e-64	1.30423808644166e-62	-75.7462047222508
"7934"	"NC_035780.1"	640381	640381	"+"	1.77322454645512e-118	5.30297227983035e-116	-85.5377842993397
"7935"	"NC_035780.1"	640425	640425	"+"	2.16562241424647e-109	4.92676850077513e-107	-79.3343443310154
"7958"	"NC_035780.1"	644364	644364	"+"	3.85082404648539e-129	1.61187726431839e-126	-75.852294789159
"7961"	"NC_035780.1"	645004	645004	"+"	1.62427284279527e-139	9.7354409073641e-137	-79.3835159694644
"7962"	"NC_035780.1"	645047	645047	"+"	1.35470195173944e-131	6.15818237797973e-129	-75.9922203400464
"7965"	"NC_035780.1"	645079	645079	"+"	1.61116689852226e-126	6.20388513298776e-124	-81.6788811941101
"7966"	"NC_035780.1"	645105	645105	"+"	1.41603152395914e-113	3.64778131364892e-111	-77.5566396865876
"7976"	"NC_035780.1"	645842	645842	"+"	2.6874705554294e-76	2.45775311468269e-74	-79.8196083093108
"8007"	"NC_035780.1"	651232	651232	"+"	6.73757128176132e-121	2.16281870503707e-118	-79.2028567832038
"8023"	"NC_035780.1"	655901	655901	"+"	4.10235081134938e-150	3.64355416419168e-147	-77.4718447868028
"8025"	"NC_035780.1"	656110	656110	"+"	1.59874379668941e-165	2.7264716497725e-162	-80.0265287173365
"8026"	"NC_035780.1"	656279	656279	"+"	5.15805243993605e-121	1.66227350834936e-118	-75.4879435850773
"8028"	"NC_035780.1"	656533	656533	"+"	6.40904642390955e-68	4.65026750637402e-66	-75.2634774162215
"8030"	"NC_035780.1"	656621	656621	"+"	1.14793084972356e-130	5.06374412562156e-128	-75.9677419354839
"8056"	"NC_035780.1"	659887	659887	"+"	4.74994918033015e-71	3.76073720368123e-69	-77.6822037278311
"8906"	"NC_035780.1"	750423	750423	"+"	6.04594179933861e-171	1.31784040821994e-167	-84.0490444393277
"8920"	"NC_035780.1"	752354	752354	"+"	3.30443842336543e-148	2.71027932601294e-145	-77.7226777752797
"8950"	"NC_035780.1"	756713	756713	"+"	7.02107641168844e-161	9.69845685477205e-158	-82.7291149710504
"8964"	"NC_035780.1"	757548	757548	"+"	1.32609639336437e-64	8.77428588157945e-63	-76.0046399867429
"25334"	"NC_035780.1"	2040412	2040412	"+"	7.43363316615771e-62	4.54841214213221e-60	-76.189045258009
"25348"	"NC_035780.1"	2043872	2043872	"+"	5.14327821265972e-72	4.18468751875276e-70	-75.0755773614828
"25356"	"NC_035780.1"	2044527	2044527	"+"	2.96162462371027e-211	6.22528932066096e-207	-81.7419415292354
"25357"	"NC_035780.1"	2044542	2044542	"+"	6.96699815431852e-181	2.44373929849601e-177	-84.5911047345768
"25358"	"NC_035780.1"	2044633	2044633	"+"	1.01144527390728e-135	5.26814189303776e-133	-79.3943370307342
"29341"	"NC_035780.1"	2482069	2482069	"+"	2.02650178427254e-102	3.77324824816222e-100	-82.1741999340152
"29343"	"NC_035780.1"	2482312	2482312	"+"	5.80274219616491e-123	1.9836717514871e-120	-79.7946142178681
"29779"	"NC_035780.1"	2537467	2537467	"+"	1.8156895526988e-145	1.34664972199113e-142	-78.0435314460584
"29780"	"NC_035780.1"	2537598	2537598	"+"	4.06850489638185e-130	1.75445223123176e-127	-78.0133436837799
"29782"	"NC_035780.1"	2537658	2537658	"+"	5.76315222593396e-131	2.5689846701163e-128	-77.7807558295363
"29821"	"NC_035780.1"	2543311	2543311	"+"	1.56653074968767e-160	2.13884305614583e-157	-88.6360594297952
"29823"	"NC_035780.1"	2543709	2543709	"+"	2.12736720254793e-82	2.29390546371479e-80	-79.4668625025768
"31905"	"NC_035780.1"	2677567	2677567	"+"	2.6027862014117e-153	2.62267234031556e-150	-82.2418655047392
"31922"	"NC_035780.1"	2679699	2679699	"+"	2.05684639936577e-121	6.7268877963804e-119	-76.1969756055288
"31927"	"NC_035780.1"	2679836	2679836	"+"	1.45612023264628e-114	3.86071922805689e-112	-76.4784688995215
"31940"	"NC_035780.1"	2681625	2681625	"+"	5.54081750311268e-97	8.87240467750089e-95	-81.3290287866559
"31941"	"NC_035780.1"	2681651	2681651	"+"	2.50653495621404e-86	3.00708796995583e-84	-83.3743594896011
"31942"	"NC_035780.1"	2681659	2681659	"+"	3.41855882053494e-68	2.49929298977609e-66	-75.6881416455884
"31943"	"NC_035780.1"	2681706	2681706	"+"	5.14270384262882e-115	1.38299619705214e-112	-86.536890572203
"31944"	"NC_035780.1"	2681831	2681831	"+"	2.44471910123908e-96	3.84669112893022e-94	-78.2081280788177
"31947"	"NC_035780.1"	2682080	2682080	"+"	6.36453338314977e-135	3.22696613909354e-132	-80.7101051288452
"31948"	"NC_035780.1"	2682100	2682100	"+"	2.55020600613717e-150	2.28219039838851e-147	-79.199438927422
"31949"	"NC_035780.1"	2682119	2682119	"+"	2.79002700599929e-82	3.00163702847666e-80	-80.518081433783
"31950"	"NC_035780.1"	2682141	2682141	"+"	3.20078336359669e-77	2.99921090793006e-75	-79.0990990990991
"31952"	"NC_035780.1"	2682397	2682397	"+"	3.79587839774802e-157	4.50843297779419e-154	-81.3014755227081
"31955"	"NC_035780.1"	2682506	2682506	"+"	7.81405772605363e-133	3.69842683100307e-130	-80.0040167556091
"31969"	"NC_035780.1"	2683323	2683323	"+"	2.69419253125854e-113	6.88285757172435e-111	-75.0896828813316
"31989"	"NC_035780.1"	2684693	2684693	"+"	2.88538074297351e-124	1.02810556598691e-121	-75.6479980102072
"31990"	"NC_035780.1"	2684747	2684747	"+"	2.26266129988908e-125	8.3816149570891e-123	-81.2548439371521
"32000"	"NC_035780.1"	2686436	2686436	"+"	5.88702644024982e-155	6.35977136569834e-152	-76.9945515791377
"32023"	"NC_035780.1"	2688359	2688359	"+"	4.26050485693523e-127	1.668488599985e-124	-76.622161671208
"32024"	"NC_035780.1"	2688489	2688489	"+"	4.55285786942968e-125	1.66693867624795e-122	-79.023669282097
"32036"	"NC_035780.1"	2689246	2689246	"+"	3.48445113128177e-124	1.23814686566586e-121	-75.289688532843
"32041"	"NC_035780.1"	2689346	2689346	"+"	1.16121797129219e-128	4.77656605429425e-126	-76.517168132075
"32042"	"NC_035780.1"	2689528	2689528	"+"	6.055911766895e-140	3.68348336578999e-137	-87.6606727454876
"32043"	"NC_035780.1"	2689550	2689550	"+"	1.5916534178928e-142	1.06040882917668e-139	-85.7656406695981
"32044"	"NC_035780.1"	2689766	2689766	"+"	1.91962487267512e-157	2.30623759522941e-154	-77.7094691535151
"32045"	"NC_035780.1"	2689877	2689877	"+"	6.21447668503941e-229	5.81066453563981e-224	-82.9684549206127
"32046"	"NC_035780.1"	2689901	2689901	"+"	3.16795500994339e-207	4.96537599465704e-203	-81.4150520132303
"32047"	"NC_035780.1"	2689904	2689904	"+"	1.99005824358459e-190	1.17563454731883e-186	-80.7520848151693
"32049"	"NC_035780.1"	2689959	2689959	"+"	3.15993876389674e-113	8.05297362561538e-111	-77.5756439109778
"32051"	"NC_035780.1"	2689982	2689982	"+"	1.4347859254774e-114	3.80564247089988e-112	-76.8680925597
"32052"	"NC_035780.1"	2689989	2689989	"+"	3.10706668352733e-121	1.01007050869195e-118	-79.861673414305
