"chr"	"start"	"end"	"strand"	"pvalue"	"qvalue"	"meth.diff"
"413093"	"NC_035781.1"	5389592	5389592	"+"	3.32460745753877e-70	2.85781688013663e-66	-55.777246780831
"416573"	"NC_035781.1"	5884856	5884856	"+"	1.24575483210414e-138	2.54861103902963e-132	53.7692641089542
"499806"	"NC_035781.1"	15563567	15563567	"+"	3.23884045762568e-125	2.06872005681697e-119	52.400593409808
"577632"	"NC_035781.1"	29751988	29751988	"+"	1.52271147813269e-121	6.23043825705456e-116	-50.4663076316827
"583767"	"NC_035781.1"	30358436	30358436	"+"	3.76932571810647e-97	2.57047504781728e-92	-52.7563889386304
"685847"	"NC_035781.1"	49466764	49466764	"+"	4.04474118268233e-125	2.06872005681697e-119	-52.3260162533301
"2137674"	"NC_035784.1"	97191627	97191627	"+"	8.55352879412354e-65	4.86086769455551e-61	62.0120257101389
"2297884"	"NC_035786.1"	21487992	21487992	"+"	3.14280669863391e-89	1.10856370651139e-84	52.7143152629699
"2419688"	"NC_035787.1"	15706275	15706275	"+"	8.60285616625168e-108	1.46666995432937e-102	52.9707191673459
"2492812"	"NC_035787.1"	49178189	49178189	"+"	8.98658841796644e-100	7.66045541727246e-95	-52.3168549708094
