"chr"	"start"	"end"	"strand"	"pvalue"	"qvalue"	"meth.diff"
"3133"	"NC_035780.1"	250322	250322	"+"	2.57486880555149e-65	1.00122029424115e-61	-58.0023647829251
"3134"	"NC_035780.1"	250345	250345	"+"	2.25546752756767e-76	1.74102144342399e-72	-59.6358303800562
"3136"	"NC_035780.1"	250388	250388	"+"	1.94866126357231e-66	8.23434192383334e-63	-58.4405873649713
"3137"	"NC_035780.1"	250395	250395	"+"	2.09551293018775e-62	6.7300768200313e-59	-58.1593927893738
"3138"	"NC_035780.1"	250417	250417	"+"	9.45287181468842e-62	2.86203836064892e-58	-55.8049460118426
"3139"	"NC_035780.1"	250426	250426	"+"	9.88536968645512e-56	2.00570914349005e-52	-52.8237476808905
"3141"	"NC_035780.1"	250454	250454	"+"	2.58263160135845e-42	2.01400230421934e-39	-51.0529406829432
"3429"	"NC_035780.1"	270088	270088	"+"	1.59764583071773e-52	2.62917928893752e-49	50.1219973009447
"4587"	"NC_035780.1"	370308	370308	"+"	4.56212523331523e-62	1.42699006964369e-58	63.2207679656494
"4597"	"NC_035780.1"	370645	370645	"+"	8.87613195211346e-29	2.11721116526297e-26	53.6477987421384
"7333"	"NC_035780.1"	575313	575313	"+"	1.54180702064045e-52	2.54265476312367e-49	-51.7259102160415
"7335"	"NC_035780.1"	575341	575341	"+"	6.65334713733531e-60	1.79597508327516e-56	57.4106810124889
"8068"	"NC_035780.1"	645274	645274	"+"	3.58896989130763e-31	1.07545728762172e-28	68.8679245283019
"8102"	"NC_035780.1"	650897	650897	"+"	7.2817843998841e-29	1.75165147935604e-26	-55.1114862898061
"9160"	"NC_035780.1"	774820	774820	"+"	1.91044617221845e-97	5.674066391245e-93	-78.7148329150707
"9165"	"NC_035780.1"	776948	776948	"+"	1.20943356340537e-27	2.58331917364629e-25	63.6470588235294
"9180"	"NC_035780.1"	778288	778288	"+"	2.57229389178213e-63	8.78615206224924e-60	59.2373152101304
"12218"	"NC_035780.1"	986331	986331	"+"	1.6698285421346e-59	4.38333179710493e-56	-58.2578360928876
"12266"	"NC_035780.1"	990001	990001	"+"	1.77451026529974e-49	2.38117491501475e-46	-54.2501983602222
"24131"	"NC_035780.1"	1884445	1884445	"+"	2.88024021170025e-30	7.93751715687997e-28	-66.7562724014337
"24468"	"NC_035780.1"	1937855	1937855	"+"	3.48823460384239e-19	2.93583210913238e-17	52.3392716163801
"24916"	"NC_035780.1"	1974720	1974720	"+"	1.908034821897e-55	3.80937891174659e-52	-52.6520888283842
"24964"	"NC_035780.1"	1980628	1980628	"+"	9.8056028510803e-59	2.45417294145038e-55	-54.6308540833441
"29288"	"NC_035780.1"	2471589	2471589	"+"	1.93064215851758e-39	1.1974445807599e-36	50.0182085168869
"30284"	"NC_035780.1"	2579125	2579125	"+"	1.27123934526625e-44	1.18907880198323e-41	-61.0090910590836
"31779"	"NC_035780.1"	2664617	2664617	"+"	9.29838350542072e-22	1.05887236877623e-19	-53.3548387096774
"32344"	"NC_035780.1"	2710547	2710547	"+"	1.43524135173042e-45	1.44802093238629e-42	54.1796545527889
"32356"	"NC_035780.1"	2711158	2711158	"+"	4.55617145337345e-59	1.16558851489636e-55	52.442170435979
"32362"	"NC_035780.1"	2711287	2711287	"+"	1.99737810597487e-66	8.42878067329083e-63	61.8270015849383
