id,feature,fc,pval,qval,chr,strand,start,end,t_name,num_exons,length,gene_id,gene_name,cov.S12M,FPKM.S12M,cov.S13M,FPKM.S13M,cov.S16F,FPKM.S16F,cov.S19F,FPKM.S19F,cov.S22F,FPKM.S22F,cov.S23M,FPKM.S23M,cov.S29F,FPKM.S29F,cov.S31M,FPKM.S31M,cov.S35F,FPKM.S35F,cov.S36F,FPKM.S36F,cov.S39F,FPKM.S39F,cov.S3F,FPKM.S3F,cov.S41F,FPKM.S41F,cov.S44F,FPKM.S44F,cov.S48M,FPKM.S48M,cov.S50F,FPKM.S50F,cov.S52F,FPKM.S52F,cov.S53F,FPKM.S53F,cov.S54F,FPKM.S54F,cov.S59M,FPKM.S59M,cov.S64M,FPKM.S64M,cov.S6M,FPKM.S6M,cov.S76F,FPKM.S76F,cov.S77F,FPKM.S77F,cov.S7M,FPKM.S7M,cov.S9M,FPKM.S9M
10040,transcript,3.18170244147764,0.000565853530985816,0.0124538230149546,NC_035781.1,-,28480081,28493688,rna-XM_022457209.1,23,4761,gene-LOC111117960,LOC111117960,5.036436,5.890385,2.878221,4.698602,0.062697,0.022945,0.239382,0.089898,0.435159,0.148024,4.353855,6.853007,1.573708,0.903996,2.409245,4.084114,0.034293,0.016814,0.182105,0.085191,0.240496,0.092041,0.301722,0.122348,0.49863,0.237813,1.049343,0.415574,9.398348,6.994489,0.392577,0.176417,3.564513,1.814291,0.290762,0.133367,0.466883,0.243627,13.5051,8.502841,1.747158,1.389552,6.311476,6.468841,0.347814,0.121308,0.171264,0.051371,5.537283,6.995433,6.952855,7.84061
10065,transcript,9.82404726959343,0.00058352684639229,0.0127379544040015,NC_035781.1,+,28687969,28693375,rna-XM_022462318.1,3,3432,gene-LOC111121167,LOC111121167,2.745808,3.211372,1.231849,2.010953,33.541374,12.275277,6.007284,2.255981,6.143211,2.089677,2.290647,3.605499,7.092658,4.074284,2.785256,4.721521,8.965909,4.396111,5.572698,2.606982,4.841492,1.852908,9.785547,3.968025,5.407197,2.578869,11.185898,4.429981,3.145441,2.340917,5.342949,2.401024,14.321241,7.289325,7.711102,3.536949,8.649767,4.513591,66.217461,41.690659,62.560169,49.755418,1.687937,1.730023,3.765297,1.313227,4.560606,1.367969,2.459207,3.106798,4.564685,5.147513
10090,transcript,54.9293517164258,5.673845837606e-10,1.82068039082939e-07,NC_035781.1,-,28921772,28948167,rna-XM_022463251.1,5,1097,gene-LOC111121820,LOC111121820,13.131391,15.357875,2.718217,4.437401,0.483136,0.176815,0,0,0.813127,0.276594,4.925978,7.753534,0.271295,0.155842,8.694676,14.739076,0,0,0,0,0,0,0.922354,0.374013,0,0,0,0,9.743855,7.251624,0.319052,0.143376,1.120848,0.570497,0,0,1.070305,0.558503,85.711014,53.963842,71.12883,56.570255,3.129774,3.207809,0.094992,0.03313,0.542388,0.162691,5.113639,6.46023,6.486164,7.314331
10091,transcript,4.52119789642814,0.000365444247678925,0.00879395610331386,NC_035781.1,+,28936259,28950971,rna-XM_022463248.1,3,1333,gene-LOC111121819,LOC111121819,9.643442,11.278529,2.519831,4.113542,0,0,0,0,0.641498,0.218212,2.251494,3.543872,0,0,0.599513,1.016285,1.479835,0.725584,0,0,0,0,0.666689,0.270341,0.90975,0.43389,0,0,4.026812,2.996856,0.930746,0.41826,0.937955,0.477407,0.573091,0.262867,1.195424,0.623792,12.187544,7.673304,2.28095,1.814088,5.716035,5.858554,1.608027,0.560833,0.430983,0.129275,4.532149,5.725614,7.143548,8.055651
10092,transcript,4.24834441068484,0.0019172656531381,0.0311983456103187,NC_035781.1,+,28947426,28950971,rna-XM_022463249.1,3,724,gene-LOC111121819,LOC111121819,0.846517,0.990048,0.847974,1.38429,0,0,0,0,0.236188,0.080342,2.37332,3.735627,0.863952,0.496286,0.579246,0.981929,0,0,0,0,0,0,0,0,0.555311,0.264846,0,0,2.76034,2.054315,0,0,0,0,0,0,0.331475,0.172969,11.150558,7.020416,0.860358,0.684261,6.237246,6.39276,0,0,0,0,3.983197,5.032105,0,0
10093,transcript,8.40837870531909,1.12896718418298e-05,0.000535512608621548,NC_035781.1,+,28953766,28974228,rna-XM_022460306.1,26,6095,gene-LOC111119807,LOC111119807,10.330211,12.081743,3.755545,6.130805,2.477276,0.906619,0,0,3.859749,1.312934,3.44856,5.428065,0.746341,0.428726,4.017648,6.810653,1.328926,0.651591,3.620296,1.693622,0.244873,0.093716,3.640164,1.476081,2.98415,1.423239,2.048154,0.811136,6.671287,4.964941,0.721411,0.324189,1.531346,0.779435,0.535685,0.245709,1.436145,0.749404,25.921448,16.3202,9.93535,7.901793,9.419934,9.654803,1.308035,0.456205,11.124623,3.336869,6.83233,8.631509,1.651289,1.862129
10098,transcript,0.381041515803376,6.3440265987369e-05,0.00215055961931632,NC_035781.1,+,28999193,29002722,rna-XM_022463540.1,6,1385,gene-LOC111122018,LOC111122018,0,0,0,0,5.835914,2.135794,2.706767,1.016502,3.391199,1.153552,0,0,4.823626,2.770868,0,0,2.894857,1.419389,3.619803,1.693392,1.375906,0.526579,4.650119,1.885617,1.753483,0.836293,6.483989,2.567871,0,0,2.89119,1.299248,2.265718,1.153221,1.764878,0.809519,3.174467,1.656489,0,0,0,0,0,0,2.331901,0.8133,2.89107,0.867186,0,0,0,0
10106,transcript,0.295142109488829,0.00339041032081377,0.0471577239693312,NC_035781.1,+,29059175,29073317,rna-XM_022463539.1,13,3130,gene-LOC111122016,LOC111122016,0.191366,0.223813,0,0,2.426946,0.8882,12.073274,4.534009,6.617638,2.251058,0.088281,0.138955,3.869013,2.222503,0,0,5.257482,2.577817,5.026512,2.351469,7.098894,2.716848,6.009515,2.43685,0.629179,0.300076,2.218385,0.878553,0.281363,0.209397,6.112656,2.746916,6.964052,3.544612,3.492401,1.601904,14.382584,7.505069,0.042487,0.02675,0,0,0.13271,0.136019,3.015568,1.051743,1.551217,0.465293,0.078431,0.099084,0.13676,0.154222
10107,transcript,0.414594341389891,1.59815113842665e-06,0.000120803453617478,NC_035781.1,-,29073805,29079882,rna-XM_022462096.1,10,2307,gene-LOC111121013,LOC111121013,3.721003,4.351915,4.152105,6.778176,66.054413,24.17421,46.194412,17.347895,57.295181,19.489552,3.578551,5.632672,30.700478,17.635485,2.916407,4.943847,43.060471,21.113152,38.104786,17.825923,57.494144,22.003829,67.640121,27.427972,51.273956,24.454226,47.675014,18.880863,7.846613,5.839649,50.851116,22.851563,39.581818,20.146629,37.242729,17.082593,44.084309,23.003918,10.811878,6.807182,11.010294,8.756718,5.37428,5.508278,55.265392,19.274976,92.679665,27.799584,4.034443,5.096846,4.415095,4.978824
10108,transcript,21.4727436534839,2.76507705621043e-11,1.77457115313473e-08,NC_035781.1,+,29082249,29087002,rna-XM_022460952.1,8,2147,gene-LOC111120222,LOC111120222,5.223025,6.108611,1.590016,2.595649,0,0,0.065746,0.02469,0,0,2.340017,3.683208,0,0,4.803315,8.142503,0,0,0,0,0,0,0,0,0,0,0,0,8.072075,6.007443,0,0,0.257241,0.130932,0.8379,0.38433,0.581219,0.30329,30.00419,18.890704,24.849091,19.763005,3.048972,3.124992,0,0,0.249185,0.074744,5.209341,6.581133,6.114105,6.894767
